room_type,segment,area_m2,ceiling_h,budget,required_lux,total_lumens,fixtures_count,fixture_type,fixture_lm,purpose,country,model_name,price_rub,norm_ref
Кухня,domestic,9,3.0,1817,181,1629,1,Потолочный,2801,Кухня,Турция,LumenPro QB15804,1540,СП 52.13330.2016
Спальня,domestic,24,2.7,998,146,3504,6,Настенный (бра),504,Спальня,Франция,ЭРА BT4354,120,СП 52.13330.2016
Холодильный склад,industrial,122,8.3,23913,156,24075,1,Прожектор,16357,Холодильный склад,Китай,СветТех GF10879,19628,СП 52.13330.2016
Сцена театра,administrative,164,2.8,155855,967,158588,43,Подвесной,3661,Сцена театра,Корея,Юпитер BI283,3093,СНиП 23-05-95
Цех (ресторан/столовая),administrative,90,8.5,33531,283,32474,1,Промышленный (High-bay),22757,Цех (ресторан/столовая),Китай,ProLED CP15093,31290,СП 52.13330.2016
Улица,outdoor,814,0.0,61302,94,76516,9,Парковый фонарь,7876,Улица,США,MarketLED QY10140,6694,СП 52.13330.2016
Электромонтажный цех,industrial,376,9.7,666898,414,207811,25,Взрывозащищённый,8123,Электромонтажный цех,Тайвань,Philips WW722,18276,СП 52.13330.2016
Сад/парк,outdoor,1699,0.0,77790,32,54368,10,Парковый фонарь,5416,Сад/парк,Турция,Плутон AP9882,5524,СП 52.13330.2016
Холодильный склад,industrial,189,6.4,42165,144,31842,2,Прожектор,12469,Холодильный склад,Франция,Феникс ZW10658,14962,СП 52.13330.2016
Кухня,domestic,12,2.9,1540,195,2340,1,Потолочный,2573,Кухня,США,EcoLight MF156,1157,СП 52.13330.2016
Школа (класс),administrative,63,7.9,28226,392,30746,11,Встраиваемый,2740,Школа (класс),Турция,ProLED FD12595,1808,СП 52.13330.2016
Электромонтажный цех,industrial,349,7.4,272678,416,177124,49,Пылевлагозащищённый (IP65),3596,Электромонтажный цех,Германия,TechnoLight EG269,4207,СП 52.13330.2016
Цех деревообработки,industrial,365,5.2,203046,294,119114,6,Прожектор,19180,Цех деревообработки,Китай,СветТех IS12943,23016,СП 52.13330.2016
Аварийный выход,outdoor,13,0.0,773,46,598,1,Настенный линейный,1394,Аварийный выход,Германия,Плутон YW11859,752,ГОСТ Р 55710-2013
Концертный зал,administrative,986,11.8,650405,297,421692,21,Прожектор,19653,Концертный зал,Франция,ZetaLED QI9876,23583,СНиП 23-05-95
Музейный зал,administrative,303,9.1,106978,372,147094,49,Встраиваемый,2999,Музейный зал,Турция,MaxLight QV15389,2159,СП 52.13330.2016
Сцена театра,administrative,199,11.0,306166,979,272749,15,Прожектор,17586,Сцена театра,Тайвань,ПроСвет LA602,17586,СНиП 23-05-95
Обеденный зал (ресторан/столовая),administrative,113,6.6,12235,187,24934,8,Потолочный,2797,Обеденный зал (ресторан/столовая),Франция,ПроСвет VU3357,1398,СНиП 23-05-95
Коридор (жилой),domestic,23,2.9,679,30,690,1,Настенный линейный,1447,Коридор (жилой),Италия,EcoLight HF2581,586,СП 52.13330.2016
Сцена театра,administrative,255,7.4,216814,929,289011,85,Подвесной,3386,Сцена театра,Франция,ProLED LM17287,2420,СНиП 23-05-95
Больница (палата),administrative,25,4.6,1744,204,5508,1,Потолочный,2966,Больница (палата),Турция,ProLED JY12272,1631,СП 52.13330.2016
Школа (класс),administrative,34,5.7,9338,410,15821,5,Потолочный,2928,Школа (класс),Германия,MaxLight AU11039,1756,СП 52.13330.2016
Выставочный зал,administrative,853,7.5,404679,531,554855,177,Встраиваемый,3133,Выставочный зал,Китай,ProLED HE19058,2067,СП 52.13330.2016
Коридор (общественный),outdoor,86,0.0,4063,79,6794,4,Настенный линейный,1530,Коридор (общественный),Германия,MarketLED HW7605,688,СП 52.13330.2016
Концертный зал,administrative,797,2.9,286358,329,262213,85,Подвесной,3078,Концертный зал,Турция,Юпитер XZ18924,2600,СНиП 23-05-95
Спальня,domestic,13,2.6,618,136,1768,2,Настенный (бра),831,Спальня,Италия,LumenPro LP8964,274,СП 52.13330.2016
Парковка,outdoor,318,0.0,26793,54,17172,2,Консольный,8415,Парковка,США,MarketLED GQ19598,9256,СП 52.13330.2016
Библиотека,administrative,144,10.7,38795,297,59233,20,Потолочный,2960,Библиотека,Тайвань,ProLED MD10772,1628,СП 52.13330.2016
Зал кинотеатра,administrative,437,7.4,17127,45,23991,7,Потолочный,3144,Зал кинотеатра,Италия,ProLED SN15387,1729,СНиП 23-05-95
Жилое помещение,domestic,30,2.7,3150,215,6450,2,Потолочный,2787,Жилое помещение,Тайвань,ЭРА GZ1189,1114,СанПиН 2.2.1
Коридор (жилой),domestic,5,2.7,1024,32,160,1,Настенный линейный,1591,Коридор (жилой),Корея,Зенит TP14556,715,СП 52.13330.2016
Коридор (жилой),domestic,24,2.9,741,28,672,1,Настенный линейный,1045,Коридор (жилой),Франция,LumenPro CN7863,517,СП 52.13330.2016
Балкон/лоджия,domestic,7,2.6,1019,90,630,1,Настенный линейный,1538,Балкон/лоджия,Россия,BrightLine DC3753,761,СП 52.13330.2016
Производственные (общее),industrial,347,11.5,224420,257,127080,7,Промышленный (High-bay),17708,Производственные (общее),Германия,Osram GN1123,30988,СП 52.13330.2016
Зал театра,administrative,541,4.0,62689,198,112473,78,Настенный линейный,1429,Зал театра,Германия,MaxLight GC16182,771,СНиП 23-05-95
Сцена театра,administrative,253,2.9,271742,1009,255277,65,Подвесной,3922,Сцена театра,Корея,ProLED LQ9326,2804,СНиП 23-05-95
Торговый зал,industrial,90,4.4,80454,774,74536,19,Подвесной,3812,Торговый зал,США,Osram NR4742,3468,СНиП 23-05-95
Фойе театра/кинотеатра,administrative,129,3.8,11907,135,18111,5,Потолочный,3083,Фойе театра/кинотеатра,Корея,MaxLight LL11204,1849,СП 52.13330.2016
Производственные (общее),industrial,899,5.5,806434,241,243741,18,Взрывозащищённый,13462,Производственные (общее),Корея,Philips VU6228,30289,СП 52.13330.2016
Зал театра,administrative,303,7.1,43543,212,77404,30,Потолочный,2573,Зал театра,Тайвань,OptiLight YD16194,1415,СНиП 23-05-95
Музейный зал,administrative,245,8.7,131104,405,127504,33,Подвесной,3827,Музейный зал,Италия,ZetaLED AD13266,2985,СП 52.13330.2016
Обеденный зал (ресторан/столовая),administrative,56,12.2,11436,202,16515,5,Потолочный,3077,Обеденный зал (ресторан/столовая),Россия,ZetaLED VE12192,1846,СНиП 23-05-95
Санузел,domestic,2,2.6,4104,47,94,1,Пылевлагозащищённый (IP65),4518,Санузел,Германия,EcoLight WU5623,3659,СП 52.13330.2016
Парковка,outdoor,482,0.0,27177,45,21690,2,Консольный,8778,Парковка,Турция,Андромеда FM5606,12552,СП 52.13330.2016
Кафе,administrative,97,5.2,21227,321,34562,11,Потолочный,2919,Кафе,Корея,MaxLight YX17928,1751,СП 52.13330.2016
Сцена театра,administrative,120,11.8,129259,1055,182304,63,Потолочный,2856,Сцена театра,Франция,Юпитер FL16079,1856,СНиП 23-05-95
Библиотека,administrative,111,7.1,25987,316,42266,13,Потолочный,3197,Библиотека,Италия,ПроСвет WK19155,1598,СП 52.13330.2016
Выставочный зал,administrative,904,10.0,521683,464,566265,172,Встраиваемый,3283,Выставочный зал,Китай,ProLED CM18799,2166,СП 52.13330.2016
Больница (палата),administrative,27,8.8,4480,212,7383,6,Настенный линейный,1107,Больница (палата),Тайвань,ПроСвет KW18580,498,СП 52.13330.2016
Спальня,domestic,14,2.6,1763,149,2086,1,Потолочный,2805,Спальня,США,BrightLine KT19518,1542,СП 52.13330.2016
Производственные (общее),industrial,552,9.0,473065,250,179400,22,Взрывозащищённый,8016,Производственные (общее),Франция,Феникс TZ10481,14428,СП 52.13330.2016
Кухня,domestic,11,2.9,2455,184,2024,1,Встраиваемый,2961,Кухня,Турция,LumenPro DG11604,1954,СП 52.13330.2016
Производственные (точные работы),industrial,370,10.5,346846,477,242673,10,Промышленный (High-bay),22606,Производственные (точные работы),Тайвань,СветТех KY9015,33909,СП 52.13330.2016
Библиотека,administrative,194,3.9,35974,322,65279,22,Потолочный,2955,Библиотека,Германия,ПроСвет UG12848,1477,СП 52.13330.2016
Торговый зал,industrial,188,5.1,187478,823,170970,56,Встраиваемый,3040,Торговый зал,США,Philips PB8143,2736,СНиП 23-05-95
Электромонтажный цех,industrial,251,5.9,152729,375,107773,29,Пылевлагозащищённый (IP65),3615,Электромонтажный цех,Корея,TechnoLight PO10548,4229,СП 52.13330.2016
Производственные (точные работы),industrial,201,5.1,159436,441,97948,4,Промышленный (High-bay),21209,Производственные (точные работы),Франция,Osram GU14212,37115,СП 52.13330.2016
Аварийный выход,outdoor,11,0.0,148,48,528,2,Аварийный,203,Аварийный выход,Корея,Oculus XQ17299,55,ГОСТ Р 55710-2013
Электромонтажный цех,industrial,312,4.2,157461,395,130634,46,Пылевлагозащищённый (IP65),2827,Электромонтажный цех,Германия,Феникс XC5270,3053,СП 52.13330.2016
Фойе театра/кинотеатра,administrative,111,3.6,11385,162,18521,5,Потолочный,3297,Фойе театра/кинотеатра,Италия,ZetaLED JD248,1978,СП 52.13330.2016
Склад,industrial,643,6.2,288112,184,137241,8,Промышленный (High-bay),16621,Склад,США,Феникс MB7344,24931,СП 52.13330.2016
Лестничная клетка,outdoor,21,0.0,834,31,651,1,Настенный линейный,1174,Лестничная клетка,США,SafeExit ZT2180,633,СП 52.13330.2016
Цех (ресторан/столовая),administrative,120,10.2,67531,292,47654,3,Промышленный (High-bay),15143,Цех (ресторан/столовая),Италия,OptiLight WW18007,20821,СП 52.13330.2016
Сцена театра,administrative,201,7.8,143793,1033,257464,84,Потолочный,3029,Сцена театра,Корея,OptiLight JP15084,1665,СНиП 23-05-95
Концертный зал,administrative,339,7.5,146773,311,129150,7,Прожектор,17788,Концертный зал,Германия,ProLED QC15590,19566,СНиП 23-05-95
Производственные (точные работы),industrial,262,7.2,244651,435,137903,5,Промышленный (High-bay),23306,Производственные (точные работы),Германия,Philips RB3518,43698,СП 52.13330.2016
Концертный зал,administrative,641,8.1,225006,297,238923,68,Подвесной,3477,Концертный зал,Франция,OptiLight JA7752,2486,СНиП 23-05-95
Электромонтажный цех,industrial,347,5.3,231564,380,147023,35,Пылевлагозащищённый (IP65),4198,Электромонтажный цех,США,Osram XT19928,5289,СП 52.13330.2016
Аварийный выход,outdoor,17,0.0,722,48,816,1,Настенный линейный,1163,Аварийный выход,Италия,SafeExit JS15107,628,ГОСТ Р 55710-2013
Офис,administrative,46,10.2,21284,505,31592,11,Потолочный,2775,Офис,Россия,OptiLight JA917,1526,СП 52.13330.2016
Гостиная,domestic,18,2.8,1823,214,3852,1,Потолочный,2792,Гостиная,Германия,EcoLight VH18133,1256,СП 52.13330.2016
Коридор (жилой),domestic,25,2.6,1000,32,800,1,Настенный линейный,1725,Коридор (жилой),Тайвань,EcoLight MH10415,698,СП 52.13330.2016
Производственные (общее),industrial,695,11.7,451274,273,272269,17,Промышленный (High-bay),15897,Производственные (общее),Италия,LuxPro FE5751,25832,СП 52.13330.2016
Школа (класс),administrative,35,8.2,11224,397,17507,5,Встраиваемый,3332,Школа (класс),Турция,OptiLight NE9004,2199,СП 52.13330.2016
Зал театра,administrative,321,5.6,58673,213,77261,39,Настенный линейный,1954,Зал театра,Корея,Юпитер FR17189,1143,СНиП 23-05-95
Парковка,outdoor,1389,0.0,76279,45,62505,3,Прожектор,19843,Парковка,США,Плутон SX15554,23811,СП 52.13330.2016
Производственные (точные работы),industrial,288,6.7,325086,479,163473,10,Промышленный (High-bay),15592,Производственные (точные работы),США,TechnoLight RM18736,25337,СП 52.13330.2016
Электромонтажный цех,industrial,187,5.9,107705,370,79222,21,Пылевлагозащищённый (IP65),3757,Электромонтажный цех,Франция,Феникс PV17931,4057,СП 52.13330.2016
Склад,industrial,992,5.2,391801,204,224628,15,Прожектор,14587,Склад,Китай,Osram GS19656,20421,СП 52.13330.2016
Кухня,domestic,11,2.6,1469,183,2013,1,Встраиваемый,2075,Кухня,США,BrightLine FM19458,1369,СП 52.13330.2016
Лестничная клетка,outdoor,39,0.0,1054,33,1287,1,Настенный линейный,1515,Лестничная клетка,Италия,StreetLine RP9472,749,СП 52.13330.2016
Коридор (жилой),domestic,25,2.9,340,28,700,1,Настенный (бра),849,Коридор (жилой),Франция,BrightLine RZ18648,280,СП 52.13330.2016
Фойе театра/кинотеатра,administrative,97,9.4,10691,139,17797,4,Подвесной,3963,Фойе театра/кинотеатра,Тайвань,ПроСвет KW11834,2575,СП 52.13330.2016
Цех (ресторан/столовая),administrative,72,11.4,34406,270,27604,6,Пылевлагозащищённый (IP65),3995,Цех (ресторан/столовая),Китай,OptiLight HK18865,3955,СП 52.13330.2016
Обеденный зал (ресторан/столовая),administrative,122,3.0,17154,201,24522,7,Потолочный,3384,Обеденный зал (ресторан/столовая),Италия,ПроСвет UA19024,1692,СНиП 23-05-95
Офис,administrative,41,9.0,20837,514,27396,8,Встраиваемый,3209,Офис,Италия,OptiLight BV8910,2117,СП 52.13330.2016
Производственные (общее),industrial,440,8.6,240367,271,152627,6,Промышленный (High-bay),23600,Производственные (общее),Китай,СветТех FW19685,35400,СП 52.13330.2016
Больница (палата),administrative,21,9.5,2300,182,5064,1,Потолочный,2946,Больница (палата),Франция,ProLED FH11163,1620,СП 52.13330.2016
Конференц-зал,administrative,198,5.0,68348,369,80368,23,Встраиваемый,3455,Конференц-зал,Турция,ПроСвет DH8991,2073,СП 52.13330.2016
Производственные (общее),industrial,431,5.1,347139,238,113348,9,Взрывозащищённый,12091,Производственные (общее),Турция,Philips MR13373,27204,СП 52.13330.2016
Производственные (грубые работы),industrial,1091,5.6,314677,193,237936,17,Прожектор,13991,Производственные (грубые работы),США,LuxPro NZ11175,18188,СП 52.13330.2016
Производственные (точные работы),industrial,456,5.5,251351,453,232389,96,Встраиваемый,2410,Производственные (точные работы),Китай,Osram JA13052,2024,СП 52.13330.2016
Производственные (грубые работы),industrial,457,9.1,270423,172,102578,7,Взрывозащищённый,14009,Производственные (грубые работы),Тайвань,Osram UY974,29418,СП 52.13330.2016
Жилое помещение,domestic,12,2.5,1406,198,2376,1,Потолочный,2754,Жилое помещение,Турция,Зенит YH9609,1377,СанПиН 2.2.1
Санузел,domestic,8,2.8,1648,52,416,1,Потолочный,2600,Санузел,Россия,EcoLight RX15164,1170,СП 52.13330.2016
Зал театра,administrative,431,4.0,84537,211,95488,28,Потолочный,3381,Зал театра,Тайвань,MaxLight IP1473,2028,СНиП 23-05-95
Балкон/лоджия,domestic,6,2.9,3742,109,654,1,Пылевлагозащищённый (IP65),3112,Балкон/лоджия,Италия,BrightLine CF12985,3080,СП 52.13330.2016
Холодильный склад,industrial,213,10.9,58972,139,41301,10,Пылевлагозащищённый (IP65),3972,Холодильный склад,Италия,Philips JC16702,5362,СП 52.13330.2016
Музейный зал,administrative,400,11.8,266025,373,214848,14,Прожектор,14387,Музейный зал,Корея,OptiLight WN10920,15825,СП 52.13330.2016
Электромонтажный цех,industrial,373,11.6,256138,367,195754,67,Пылевлагозащищённый (IP65),2910,Электромонтажный цех,Италия,TechnoLight EQ19010,3404,СП 52.13330.2016
Коридор (общественный),outdoor,80,0.0,2022,79,6320,18,Аварийный,340,Коридор (общественный),Франция,StreetLine GM1197,93,СП 52.13330.2016
Лестничная клетка,outdoor,34,0.0,465,37,1258,3,Аварийный,385,Лестничная клетка,Италия,Oculus HM7413,105,СП 52.13330.2016
Библиотека,administrative,142,10.0,37009,304,58276,23,Потолочный,2512,Библиотека,Франция,OptiLight RE4465,1381,СП 52.13330.2016
Спальня,domestic,19,2.6,1847,143,2717,1,Потолочный,2960,Спальня,Тайвань,Зенит BS9266,1480,СП 52.13330.2016
Цех деревообработки,industrial,412,5.1,234574,313,142496,7,Промышленный (High-bay),18182,Цех деревообработки,Франция,Osram RS2097,31818,СП 52.13330.2016
Жилое помещение,domestic,18,2.7,982,204,3672,3,Настенный (бра),985,Жилое помещение,США,EcoLight UK17112,265,СанПиН 2.2.1
Коридор (общественный),outdoor,81,0.0,2020,80,6480,16,Аварийный,384,Коридор (общественный),Китай,MarketLED UA9452,96,СП 52.13330.2016
Стадион,outdoor,18080,0.0,5986887,196,3543680,372,Консольный,9519,Стадион,Турция,Андромеда RR2457,13612,СНиП 23-05-95
Спальня,domestic,19,3.0,769,155,2945,3,Настенный (бра),939,Спальня,Германия,EcoLight NY12442,253,СП 52.13330.2016
Парковка,outdoor,1501,0.0,126365,54,81054,7,Прожектор,11331,Парковка,США,SafeExit DA1335,13597,СП 52.13330.2016
Производственные (общее),industrial,728,8.7,551767,265,247902,10,Промышленный (High-bay),23698,Производственные (общее),Корея,Osram HN1408,41471,СП 52.13330.2016
Кафе,administrative,127,4.8,30023,292,40421,15,Потолочный,2691,Кафе,Россия,Юпитер WN17349,1749,СП 52.13330.2016
Больница (палата),administrative,30,10.6,3354,205,8487,2,Потолочный,3046,Больница (палата),Корея,OptiLight IW7324,1675,СП 52.13330.2016
Коридор (общественный),outdoor,94,0.0,2310,70,6580,27,Аварийный,236,Коридор (общественный),Китай,Oculus ZW17272,64,СП 52.13330.2016
Сцена театра,administrative,277,7.3,204554,1047,352373,103,Потолочный,3417,Сцена театра,США,ProLED YS14743,1879,СНиП 23-05-95
Склад,industrial,701,10.9,263930,186,181888,8,Промышленный (High-bay),20693,Склад,Германия,Феникс LM18565,31039,СП 52.13330.2016
Гостиная,domestic,37,2.5,5717,215,7955,2,Подвесной,3852,Гостиная,Корея,Зенит BA5985,2503,СП 52.13330.2016
Школа (класс),administrative,70,8.4,23422,388,34493,12,Потолочный,2813,Школа (класс),Италия,ProLED JT17174,1547,СП 52.13330.2016
Зал театра,administrative,519,3.9,89415,203,110098,32,Потолочный,3366,Зал театра,Германия,Юпитер LW19140,2187,СНиП 23-05-95
Цех деревообработки,industrial,575,11.2,465257,280,227010,13,Прожектор,17383,Цех деревообработки,Россия,Osram RA12675,24336,СП 52.13330.2016
